Amostra,Amplitude
10.12,0.25
10.15,0.28
10.10,0.24
10.18,0.27
10.14,0.26
10.20,0.30
10.08,0.22
10.17,0.29
10.12,0.25
10.14,0.26
10.19,0.31
10.13,0.23
10.16,0.27
10.10,0.24
10.15,0.28
10.11,0.25
10.09,0.22
10.13,0.23
10.18,0.30
10.07,0.21
10.14,0.26
10.20,0.31
10.17,0.29
10.12,0.24
10.15,0.28
10.13,0.25
10.11,0.23
10.09,0.22
10.18,0.30
10.14,0.26
10.16,0.27
10,0.2
10.12,0.25
10.08,0.21
10.13,0.24
10.17,0.29
10.16,0.27
10.20,0.31
10.14,0.26
10.10,0.24
10.15,0.28
10.18,0.30
10.13,0.23
10.19,0.32
10.14,0.26
10.12,0.25
10.16,0.27
10.17,0.29
10.11,0.23
10.10,0.24
